Employer_ID,Week_Num,Participant_ID,Education_Level,Age_Group
379,1,880,Bachelors,41-50
379,2,880,Bachelors,41-50
379,3,880,Bachelors,41-50
379,4,880,Bachelors,41-50
379,5,880,Bachelors,41-50
379,6,880,Bachelors,41-50
379,7,880,Bachelors,41-50
379,8,880,Bachelors,41-50
379,9,880,Bachelors,41-50
379,10,880,Bachelors,41-50
379,11,880,Bachelors,41-50
379,12,880,Bachelors,41-50
379,13,880,Bachelors,41-50
379,14,880,Bachelors,41-50
379,15,880,Bachelors,41-50
379,16,880,Bachelors,41-50
379,17,880,Bachelors,41-50
379,18,880,Bachelors,41-50
379,19,880,Bachelors,41-50
379,20,880,Bachelors,41-50
379,21,880,Bachelors,41-50
379,22,880,Bachelors,41-50
379,23,880,Bachelors,41-50
379,24,880,Bachelors,41-50
379,25,880,Bachelors,41-50
379,26,880,Bachelors,41-50
379,27,880,Bachelors,41-50
379,28,880,Bachelors,41-50
379,29,880,Bachelors,41-50
379,30,880,Bachelors,41-50
379,31,880,Bachelors,41-50
379,32,880,Bachelors,41-50
379,33,880,Bachelors,41-50
379,34,880,Bachelors,41-50
379,35,880,Bachelors,41-50
379,36,880,Bachelors,41-50
379,37,880,Bachelors,41-50
379,38,880,Bachelors,41-50
379,39,880,Bachelors,41-50
379,40,880,Bachelors,41-50
379,41,880,Bachelors,41-50
379,42,880,Bachelors,41-50
379,43,880,Bachelors,41-50
379,44,880,Bachelors,41-50
379,45,880,Bachelors,41-50
379,46,880,Bachelors,41-50
379,47,880,Bachelors,41-50
379,48,880,Bachelors,41-50
379,49,880,Bachelors,41-50
379,50,880,Bachelors,41-50
379,51,880,Bachelors,41-50
379,52,880,Bachelors,41-50
379,53,880,Bachelors,41-50
379,54,880,Bachelors,41-50
379,55,880,Bachelors,41-50
379,56,880,Bachelors,41-50
379,57,880,Bachelors,41-50
379,58,880,Bachelors,41-50
379,59,880,Bachelors,41-50
379,60,880,Bachelors,41-50
379,61,880,Bachelors,41-50
379,62,880,Bachelors,41-50
379,63,880,Bachelors,41-50
379,64,880,Bachelors,41-50
379,65,880,Bachelors,41-50
381,1,87,High School or College,51-60
381,1,98,High School or College,51-60
381,1,121,High School or College,41-50
381,1,166,Low,21-30
381,2,87,High School or College,51-60
381,2,98,High School or College,51-60
381,2,121,High School or College,41-50
381,2,166,Low,21-30
381,3,87,High School or College,51-60
381,3,98,High School or College,51-60
381,3,121,High School or College,41-50
381,3,166,Low,21-30
381,4,87,High School or College,51-60
381,4,98,High School or College,51-60
381,4,121,High School or College,41-50
381,4,166,Low,21-30
381,5,87,High School or College,51-60
381,5,98,High School or College,51-60
381,5,121,High School or College,41-50
381,5,166,Low,21-30
381,6,87,High School or College,51-60
381,6,98,High School or College,51-60
381,6,121,High School or College,41-50
381,6,166,Low,21-30
381,7,87,High School or College,51-60
381,7,98,High School or College,51-60
381,7,121,High School or College,41-50
381,7,166,Low,21-30
381,8,87,High School or College,51-60
381,8,98,High School or College,51-60
381,8,121,High School or College,41-50
381,8,166,Low,21-30
381,9,87,High School or College,51-60
381,9,98,High School or College,51-60
381,9,121,High School or College,41-50
381,9,166,Low,21-30
381,10,87,High School or College,51-60
381,10,98,High School or College,51-60
381,10,121,High School or College,41-50
381,10,166,Low,21-30
381,11,87,High School or College,51-60
381,11,98,High School or College,51-60
381,11,121,High School or College,41-50
381,11,166,Low,21-30
381,12,87,High School or College,51-60
381,12,98,High School or College,51-60
381,12,121,High School or College,41-50
381,12,166,Low,21-30
381,13,87,High School or College,51-60
381,13,98,High School or College,51-60
381,13,121,High School or College,41-50
381,13,166,Low,21-30
381,14,87,High School or College,51-60
381,14,98,High School or College,51-60
381,14,121,High School or College,41-50
381,14,166,Low,21-30
381,15,87,High School or College,51-60
381,15,98,High School or College,51-60
381,15,121,High School or College,41-50
381,15,166,Low,21-30
381,16,87,High School or College,51-60
381,16,98,High School or College,51-60
381,16,121,High School or College,41-50
381,16,166,Low,21-30
381,17,87,High School or College,51-60
381,17,98,High School or College,51-60
381,17,121,High School or College,41-50
381,17,166,Low,21-30
381,18,87,High School or College,51-60
381,18,98,High School or College,51-60
381,18,121,High School or College,41-50
381,18,166,Low,21-30
381,19,87,High School or College,51-60
381,19,98,High School or College,51-60
381,19,121,High School or College,41-50
381,19,166,Low,21-30
381,20,87,High School or College,51-60
381,20,98,High School or College,51-60
381,20,121,High School or College,41-50
381,20,166,Low,21-30
381,21,87,High School or College,51-60
381,21,98,High School or College,51-60
381,21,121,High School or College,41-50
381,21,166,Low,21-30
381,22,87,High School or College,51-60
381,22,98,High School or College,51-60
381,22,121,High School or College,41-50
381,22,166,Low,21-30
381,23,87,High School or College,51-60
381,23,98,High School or College,51-60
381,23,121,High School or College,41-50
381,23,166,Low,21-30
381,24,87,High School or College,51-60
381,24,98,High School or College,51-60
381,24,121,High School or College,41-50
381,24,166,Low,21-30
381,25,87,High School or College,51-60
381,25,98,High School or College,51-60
381,25,121,High School or College,41-50
381,25,166,Low,21-30
381,26,87,High School or College,51-60
381,26,98,High School or College,51-60
381,26,121,High School or College,41-50
381,26,166,Low,21-30
381,27,87,High School or College,51-60
381,27,98,High School or College,51-60
381,27,121,High School or College,41-50
381,27,166,Low,21-30
381,28,87,High School or College,51-60
381,28,98,High School or College,51-60
381,28,121,High School or College,41-50
381,28,166,Low,21-30
381,29,87,High School or College,51-60
381,29,98,High School or College,51-60
381,29,121,High School or College,41-50
381,29,166,Low,21-30
381,30,87,High School or College,51-60
381,30,98,High School or College,51-60
381,30,121,High School or College,41-50
381,30,166,Low,21-30
381,31,87,High School or College,51-60
381,31,98,High School or College,51-60
381,31,121,High School or College,41-50
381,31,166,Low,21-30
381,32,87,High School or College,51-60
381,32,98,High School or College,51-60
381,32,121,High School or College,41-50
381,32,166,Low,21-30
381,33,87,High School or College,51-60
381,33,98,High School or College,51-60
381,33,121,High School or College,41-50
381,33,166,Low,21-30
381,34,87,High School or College,51-60
381,34,98,High School or College,51-60
381,34,121,High School or College,41-50
381,34,166,Low,21-30
381,35,87,High School or College,51-60
381,35,98,High School or College,51-60
381,35,121,High School or College,41-50
381,35,166,Low,21-30
381,36,87,High School or College,51-60
381,36,98,High School or College,51-60
381,36,121,High School or College,41-50
381,36,166,Low,21-30
381,37,87,High School or College,51-60
381,37,98,High School or College,51-60
381,37,121,High School or College,41-50
381,37,166,Low,21-30
381,38,87,High School or College,51-60
381,38,98,High School or College,51-60
381,38,121,High School or College,41-50
381,38,166,Low,21-30
381,39,87,High School or College,51-60
381,39,98,High School or College,51-60
381,39,121,High School or College,41-50
381,39,166,Low,21-30
381,40,87,High School or College,51-60
381,40,98,High School or College,51-60
381,40,121,High School or College,41-50
381,40,166,Low,21-30
381,41,87,High School or College,51-60
381,41,98,High School or College,51-60
381,41,121,High School or College,41-50
381,41,166,Low,21-30
381,42,87,High School or College,51-60
381,42,98,High School or College,51-60
381,42,121,High School or College,41-50
381,42,166,Low,21-30
381,43,87,High School or College,51-60
381,43,98,High School or College,51-60
381,43,121,High School or College,41-50
381,43,166,Low,21-30
381,44,87,High School or College,51-60
381,44,98,High School or College,51-60
381,44,121,High School or College,41-50
381,44,166,Low,21-30
381,45,87,High School or College,51-60
381,45,98,High School or College,51-60
381,45,121,High School or College,41-50
381,45,166,Low,21-30
381,46,87,High School or College,51-60
381,46,98,High School or College,51-60
381,46,121,High School or College,41-50
381,46,166,Low,21-30
381,47,87,High School or College,51-60
381,47,98,High School or College,51-60
381,47,121,High School or College,41-50
381,47,166,Low,21-30
381,48,87,High School or College,51-60
381,48,98,High School or College,51-60
381,48,121,High School or College,41-50
381,48,166,Low,21-30
381,49,87,High School or College,51-60
381,49,98,High School or College,51-60
381,49,121,High School or College,41-50
381,49,166,Low,21-30
381,50,87,High School or College,51-60
381,50,98,High School or College,51-60
381,50,121,High School or College,41-50
381,50,166,Low,21-30
381,51,87,High School or College,51-60
381,51,98,High School or College,51-60
381,51,121,High School or College,41-50
381,51,166,Low,21-30
381,52,87,High School or College,51-60
381,52,98,High School or College,51-60
381,52,121,High School or College,41-50
381,52,166,Low,21-30
381,53,87,High School or College,51-60
381,53,98,High School or College,51-60
381,53,121,High School or College,41-50
381,53,166,Low,21-30
381,54,87,High School or College,51-60
381,54,98,High School or College,51-60
381,54,121,High School or College,41-50
381,54,166,Low,21-30
381,55,87,High School or College,51-60
381,55,98,High School or College,51-60
381,55,121,High School or College,41-50
381,55,166,Low,21-30
381,56,87,High School or College,51-60
381,56,98,High School or College,51-60
381,56,121,High School or College,41-50
381,56,166,Low,21-30
381,57,87,High School or College,51-60
381,57,98,High School or College,51-60
381,57,121,High School or College,41-50
381,57,166,Low,21-30
381,58,87,High School or College,51-60
381,58,98,High School or College,51-60
381,58,121,High School or College,41-50
381,58,166,Low,21-30
381,59,87,High School or College,51-60
381,59,98,High School or College,51-60
381,59,121,High School or College,41-50
381,59,166,Low,21-30
381,60,87,High School or College,51-60
381,60,98,High School or College,51-60
381,60,121,High School or College,41-50
381,60,166,Low,21-30
381,61,87,High School or College,51-60
381,61,98,High School or College,51-60
381,61,121,High School or College,41-50
381,61,166,Low,21-30
381,62,87,High School or College,51-60
381,62,98,High School or College,51-60
381,62,121,High School or College,41-50
381,62,166,Low,21-30
381,63,87,High School or College,51-60
381,63,98,High School or College,51-60
381,63,121,High School or College,41-50
381,63,166,Low,21-30
381,64,87,High School or College,51-60
381,64,98,High School or College,51-60
381,64,121,High School or College,41-50
381,64,166,Low,21-30
381,65,87,High School or College,51-60
381,65,98,High School or College,51-60
381,65,121,High School or College,41-50
381,65,166,Low,21-30
382,1,120,High School or College,31-40
382,1,178,Bachelors,21-30
382,1,186,Graduate,31-40
382,1,223,Bachelors,41-50
382,1,791,High School or College,31-40
382,1,925,High School or College,41-50
382,2,120,High School or College,31-40
382,2,178,Bachelors,21-30
382,2,186,Graduate,31-40
382,2,223,Bachelors,41-50
382,3,120,High School or College,31-40
